권역,출처,매물ID,매물URL,매물명,주소,위도,경도,주거유형,보증금_만원,월세_만원,관리비_만원,가격표기,층정보,계약면적_m2,전용면적_m2,방향,확인일자,설명,원문태그,서울대거리_m,기준역거리_m,가까운기준점,편의성,편의성_라벨,안전도,공동현관_비밀번호,지상층여부,대로변_가까움,CCTV,관리인_상주,가로등
낙성대역,synthetic_market_model,SYN0033,,인헌동 투룸 033,서울 관악구 인헌동,37.4803672,126.9621181,투룸,1200,53,7,"월세 1,200/53",1/4층,42.4,31.4,서향,2026.05.27,주차 가능; 투룸 구조; 즉시입주 가능; 역세권 도보권,주차 가능; 투룸 구조; 즉시입주 가능; 역세권 도보권,2398,406,낙성대역,7,주차 가능; 투룸 구조; 즉시입주 가능; 역세권 도보권,,O,X,O,O,X,X
낙성대역,synthetic_market_model,SYN0034,,인헌동 원룸 034,서울 관악구 인헌동,37.4718907,126.9680623,원룸,850,39,6,월세 850/39,5/7층,21.2,16.9,남동향,2026.06.09,풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,풀옵션; 주차 가능; 채광 양호; 즉시입주 가능,1864,680,낙성대역,7,풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,,X,O,O,X,X,O
낙성대역,synthetic_market_model,SYN0035,,인헌동 투룸 035,서울 관악구 인헌동,37.4728713,126.9569775,투룸,1000,71,4,"월세 1,000/71",3/4층,58.7,43.4,남동향,2026.06.09,풀옵션; 투룸 구조; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,풀옵션; 투룸 구조; 채광 양호; 즉시입주 가능,1470,744,낙성대역,8,풀옵션; 투룸 구조; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,,O,O,X,O,X,O
낙성대역,synthetic_market_model,SYN0036,,인헌동 투룸 036,서울 관악구 인헌동,37.4795452,126.9637428,투룸,950,70,10,월세 950/70,반지하/3층,44.7,32.8,남향,2026.06.03,신축/준신축; 옵션 언급; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,신축/준신축; 옵션 언급; 주차 가능; 투룸 구조,2365,290,낙성대역,10,신축/준신축; 옵션 언급; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,,O,X,X,O,O,O
낙성대역,synthetic_market_model,SYN0037,,인헌동 분리형원룸 037,서울 관악구 인헌동,37.4755695,126.961939,분리형원룸,1450,50,9,"월세 1,450/50",반지하/4층,28.0,21.0,남서향,2026.05.27,주차 가능; 분리형; 채광 양호; 역세권 도보권; 학교 접근성 양호,주차 가능; 분리형; 채광 양호; 역세권 도보권,1896,216,낙성대역,8,주차 가능; 분리형; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,X,O,O,X,O
낙성대역,synthetic_market_model,SYN0038,,인헌동 원룸 038,서울 관악구 인헌동,37.4788887,126.9625808,원룸,1050,50,8,"월세 1,050/50",3/7층,35.6,23.9,동향,2026.06.09,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 역세권 도보권,신축/준신축; 풀옵션; 엘리베이터; 주차 가능,2259,238,낙성대역,9,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 역세권 도보권,,O,O,X,O,O,O
낙성대역,synthetic_market_model,SYN0039,,인헌동 오피스텔 039,서울 관악구 인헌동,37.4775234,126.9642974,오피스텔,950,57,5,월세 950/57,4/5층,32.2,22.3,동향,2026.05.27,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 역세권 도보권; 학교 접근성 양호,신축/준신축; 풀옵션; 엘리베이터; 주차 가능,2182,84,낙성대역,9,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 역세권 도보권; 학교 접근성 양호,,O,O,X,O,O,O
낙성대역,synthetic_market_model,SYN0040,,인헌동 빌라 040,서울 관악구 인헌동,37.4792574,126.9558322,빌라,1300,43,3,"월세 1,300/43",고층 4/8층,52.2,38.2,북향,2026.06.09,옵션 언급; 엘리베이터; 주차 가능; 복층; 기준역 도보권; 학교 접근성 양호,옵션 언급; 엘리베이터; 주차 가능; 복층,2154,740,낙성대역,8,옵션 언급; 엘리베이터; 주차 가능; 복층; 기준역 도보권; 학교 접근성 양호,,O,O,X,O,X,X
낙성대역,synthetic_market_model,SYN0041,,인헌동 원룸 041,서울 관악구 인헌동,37.4824945,126.9671762,원룸,2000,52,6,"월세 2,000/52",반지하/5층,27.6,19.0,남향,2026.06.09,신축/준신축; 풀옵션; 채광 양호; 기준역 도보권,신축/준신축; 풀옵션; 채광 양호; 기준역 도보권,2790,690,낙성대역,7,신축/준신축; 풀옵션; 채광 양호; 기준역 도보권,,O,X,O,O,X,O
낙성대역,synthetic_market_model,SYN0042,,인헌동 투룸 042,서울 관악구 인헌동,37.4771156,126.9639264,투룸,850,76,8,월세 850/76,1/5층,65.3,44.0,남향,2026.06.03,엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,엘리베이터; 주차 가능; 투룸 구조; 채광 양호,2127,29,낙성대역,9,엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,,O,X,O,X,X,O
낙성대역,synthetic_market_model,SYN0043,,인헌동 원룸 043,서울 관악구 인헌동,37.4791267,126.9645511,원룸,700,43,7,월세 700/43,반지하/3층,29.6,21.0,남동향,2026.06.09,풀옵션; 엘리베이터; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권,풀옵션; 엘리베이터; 주차 가능; 채광 양호,2352,255,낙성대역,9,풀옵션; 엘리베이터; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권,,O,X,O,O,X,O
낙성대역,synthetic_market_model,SYN0044,,인헌동 투룸 044,서울 관악구 인헌동,37.4732662,126.9601762,투룸,1150,54,7,"월세 1,150/54",4/6층,54.2,42.3,북향,2026.06.09,풀옵션; 투룸 구조; 역세권 도보권; 학교 접근성 양호,풀옵션; 투룸 구조; 역세권 도보권; 학교 접근성 양호,1599,512,낙성대역,7,풀옵션; 투룸 구조; 역세권 도보권; 학교 접근성 양호,,O,O,X,O,X,O
낙성대역,synthetic_market_model,SYN0045,,인헌동 투룸 045,서울 관악구 인헌동,37.4774194,126.9590718,투룸,950,69,8,월세 950/69,고층 7/10층,58.6,39.2,서향,2026.05.18,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 역세권 도보권; 학교 접근성 양호,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조,2006,411,낙성대역,9,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 역세권 도보권; 학교 접근성 양호,,X,O,O,O,X,O
낙성대역,synthetic_market_model,SYN0046,,인헌동 원룸 046,서울 관악구 인헌동,37.4752658,126.967796,원룸,700,43,6,월세 700/43,1/3층,25.4,20.2,남동향,2026.05.27,주차 가능; 채광 양호; 역세권 도보권; 학교 접근성 양호,주차 가능; 채광 양호; 역세권 도보권; 학교 접근성 양호,2132,406,낙성대역,7,주차 가능; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,X,O,O,X,O
낙성대역,synthetic_market_model,SYN0047,,인헌동 원룸 047,서울 관악구 인헌동,37.477024,126.9632028,원룸,1000,43,6,"월세 1,000/43",2/4층,32.0,21.5,남서향,2026.05.27,옵션 언급; 채광 양호; 역세권 도보권; 학교 접근성 양호,옵션 언급; 채광 양호; 역세권 도보권; 학교 접근성 양호,2090,44,낙성대역,7,옵션 언급; 채광 양호; 역세권 도보권; 학교 접근성 양호,,X,O,O,O,X,O
낙성대역,synthetic_market_model,SYN0048,,인헌동 빌라 048,서울 관악구 인헌동,37.4787245,126.9649091,빌라,1300,48,10,"월세 1,300/48",고층 13/15층,39.3,29.6,남향,2026.06.03,신축/준신축; 풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권,신축/준신축; 풀옵션; 주차 가능; 채광 양호,2325,226,낙성대역,9,신축/준신축; 풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권,,O,O,X,X,X,O
낙성대역,synthetic_market_model,SYN0049,,인헌동 투룸 049,서울 관악구 인헌동,37.4775134,126.9633098,투룸,1450,61,7,"월세 1,450/61",1/3층,51.8,35.9,북향,2026.06.03,투룸 구조; 역세권 도보권; 학교 접근성 양호,투룸 구조; 역세권 도보권; 학교 접근성 양호,2143,73,낙성대역,7,투룸 구조; 역세권 도보권; 학교 접근성 양호,,O,X,X,O,X,O
낙성대역,synthetic_market_model,SYN0050,,인헌동 원룸 050,서울 관악구 인헌동,37.476455,126.964595,원룸,850,54,6,월세 850/54,고층 6/8층,34.2,23.4,동향,2026.05.27,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,신축/준신축; 풀옵션; 엘리베이터; 주차 가능,2089,95,낙성대역,10,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,,O,O,O,O,O,O
낙성대역,synthetic_market_model,SYN0051,,인헌동 원룸 051,서울 관악구 인헌동,37.4769904,126.9637253,원룸,1450,50,4,"월세 1,450/50",반지하/3층,25.4,18.4,남서향,2026.06.09,풀옵션; 주차 가능; 복층; 채광 양호; 역세권 도보권; 학교 접근성 양호,풀옵션; 주차 가능; 복층; 채광 양호,2106,7,낙성대역,8,풀옵션; 주차 가능; 복층; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,X,O,X,O,O
낙성대역,synthetic_market_model,SYN0052,,인헌동 빌라 052,서울 관악구 인헌동,37.4791001,126.9647612,빌라,1700,47,4,"월세 1,700/47",고층 5/8층,53.8,38.3,북향,2026.05.27,옵션 언급; 엘리베이터; 복층; 역세권 도보권,옵션 언급; 엘리베이터; 복층; 역세권 도보권,2357,259,낙성대역,7,옵션 언급; 엘리베이터; 복층; 역세권 도보권,,X,O,O,O,X,X
낙성대역,synthetic_market_model,SYN0053,,인헌동 오피스텔 053,서울 관악구 인헌동,37.4824283,126.9663663,오피스텔,1650,54,7,"월세 1,650/54",3/4층,37.4,29.5,남향,2026.05.27,옵션 언급; 엘리베이터; 주차 가능; 채광 양호; 기준역 도보권,옵션 언급; 엘리베이터; 주차 가능; 채광 양호,2752,655,낙성대역,8,옵션 언급; 엘리베이터; 주차 가능; 채광 양호; 기준역 도보권,,O,O,X,O,O,O
낙성대역,synthetic_market_model,SYN0054,,인헌동 오피스텔 054,서울 관악구 인헌동,37.4753874,126.9657053,오피스텔,850,56,7,월세 850/56,4/5층,34.1,25.7,북향,2026.06.03,옵션 언급; 엘리베이터; 복층; 역세권 도보권; 학교 접근성 양호,옵션 언급; 엘리베이터; 복층; 역세권 도보권,2037,246,낙성대역,8,옵션 언급; 엘리베이터; 복층; 역세권 도보권; 학교 접근성 양호,,O,O,O,O,O,O
낙성대역,synthetic_market_model,SYN0055,,인헌동 원룸 055,서울 관악구 인헌동,37.4759705,126.9587759,원룸,1050,59,8,"월세 1,050/59",4/5층,23.3,18.2,남서향,2026.06.03,신축/준신축; 풀옵션; 채광 양호; 역세권 도보권; 학교 접근성 양호,신축/준신축; 풀옵션; 채광 양호; 역세권 도보권,1844,446,낙성대역,9,신축/준신축; 풀옵션; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,O,X,O,O,O
낙성대역,synthetic_market_model,SYN0056,,인헌동 분리형원룸 056,서울 관악구 인헌동,37.4772285,126.9618487,분리형원룸,1350,53,4,"월세 1,350/53",반지하/4층,30.0,23.9,남서향,2026.06.03,풀옵션; 주차 가능; 분리형; 복층; 채광 양호; 역세권 도보권; 학교 접근성 양호,풀옵션; 주차 가능; 분리형; 복층,2063,166,낙성대역,9,풀옵션; 주차 가능; 분리형; 복층; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,X,O,O,X,O
낙성대역,synthetic_market_model,SYN0057,,인헌동 분리형원룸 057,서울 관악구 인헌동,37.4767569,126.9678613,분리형원룸,2000,59,4,"월세 2,000/59",고층 5/10층,29.9,20.1,동향,2026.05.18,신축/준신축; 주차 가능; 분리형; 역세권 도보권,신축/준신축; 주차 가능; 분리형; 역세권 도보권,2270,368,낙성대역,8,신축/준신축; 주차 가능; 분리형; 역세권 도보권,,O,O,O,X,O,O
낙성대역,synthetic_market_model,SYN0058,,인헌동 분리형원룸 058,서울 관악구 인헌동,37.477287,126.965632,분리형원룸,2000,44,4,"월세 2,000/44",고층 8/8층,30.9,22.9,북향,2026.05.18,풀옵션; 주차 가능; 분리형; 역세권 도보권,풀옵션; 주차 가능; 분리형; 역세권 도보권,2214,175,낙성대역,8,풀옵션; 주차 가능; 분리형; 역세권 도보권,,O,O,X,O,X,O
